accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,x,y,z,left_encoder_rate,right_encoder_rate,left_input,right_input,fpga time,navx time
0.0757446,-0.0285645,1.23059,0.15213,0.15213,-120.639,0.511414,2.6013,0,274.081,-821.456,-0.0078125,0.648438,57.7881,3074021
0.158386,-0.046936,0.945679,-1.5213,3.0426,-117.444,0.511246,2.60135,0,207.029,-782.534,-0.0078125,0.648438,57.8083,3074051
0.00549316,0.0389404,0.919373,-0.45639,7.91077,-116.988,0.511139,2.60141,0,229.706,-857.339,-0.0078125,0.648438,57.8274,3074066
0.00531006,0.0447388,0.866821,3.49899,3.19473,-111.816,0.510925,2.60147,0,254.088,-683.878,-0.0078125,0.648438,57.8476,3074081
-0.125549,-0.0216064,0.924255,-0,7.30225,-108.317,0.509872,2.60155,0,243.002,-789.173,-0.0078125,0.648438,57.8677,3074111
0.153748,0.104736,1.12604,-6.99799,0.912781,-106.035,0.509125,2.60155,0,289.113,-865.501,-0.0078125,0.648438,57.8876,3074126
0.0453491,0.0488892,1.21228,6.23734,3.65112,-102.688,0.507065,2.60126,0,241.517,-764.731,-0.0078125,0.648438,57.9084,3074156
0.0294189,0.00561523,0.768677,3.0426,-5.17242,-101.319,0.505859,2.60106,0,278.118,-829.635,-0.0078125,0.648438,57.9296,3074171
0.0472412,0.129272,0.976624,1.21704,-3.34686,-97.9718,0.504532,2.60091,0,285.294,-742.005,-0.0078125,0.648438,57.947,3074186
-0.0137329,0.00750732,0.890686,0.15213,-0,-98.5803,0.503052,2.60077,0,316.251,-885.073,-0.0078125,0.648438,57.9669,3074201
0.129272,-0.0361328,0.955566,-7.15012,2.73834,-97.5154,0.500015,2.60052,0,317.465,-847.889,-0.0078125,0.648438,57.9874,3074231
-0.0402222,0.09375,0.894653,-4.86816,3.49899,-95.6898,0.498428,2.60045,0,295.84,-701.139,-0.0078125,0.648438,58.0078,3074246
-0.12323,-0.00341797,1.00226,-2.43408,2.73834,-91.5823,0.496674,2.60025,0,384.224,-869.187,-0.0078125,0.648438,58.0274,3074261
-0.0497437,0.074585,1.05054,3.49899,0.45639,-85.4971,0.492722,2.59987,0,273.134,-744.269,-0.0078125,0.648438,58.0472,3074291
-0.00170898,-0.0562134,0.954041,5.32455,-0.912781,-83.8237,0.49057,2.59961,0,348.08,-757.834,-0.0078125,0.648438,58.0673,3074306
-0.0963135,-0.0372925,1.07458,3.19473,-0.30426,-79.8683,0.486267,2.59938,0,289.784,-876.347,-0.0078125,0.648438,58.0889,3074336
-0.00494385,0.0641479,0.736694,6.5416,3.34686,-75.9129,0.483994,2.5992,0,347.494,-643.728,-0.0078125,0.648438,58.1089,3074351
-0.0990601,0.090271,1.11542,-2.12982,-4.25964,-72.5661,0.481522,2.59894,0,346.332,-793.21,-0.0078125,0.648438,58.1278,3074366
-0.104248,0.0206299,0.900146,6.84586,4.5639,-71.9576,0.478867,2.59854,0,379.24,-748.867,-0.0078125,0.648438,58.1477,3074381
0.0117798,0.041687,1.11597,-4.10751,0.45639,-68.1543,0.473236,2.59744,0,398.947,-679.256,-0.0078125,0.648438,58.1675,3074411
0.0287476,-0.0554199,0.790405,4.25964,7.45438,-69.0671,0.470337,2.59683,0,360.218,-722.909,-0.0078125,0.648438,58.1876,3074426
0.15918,-0.0253906,1.0705,-2.89047,0.760651,-67.6979,0.467468,2.59628,0,429.562,-562.936,-0.0078125,0.648438,58.2079,3074441
-0.0397949,0.0411377,1.0578,-1.5213,1.06491,-66.9373,0.4617,2.59557,0,391.167,-830.599,-0.0078125,0.648438,58.2277,3074471
-0.022583,-0.00219727,0.800415,-3.65112,2.12982,-66.1766,0.458664,2.59515,0,444.296,-884.134,-0.0078125,0.648438,58.2476,3074486
-0.00585938,-0.0145874,1.01953,-3.65112,4.71603,-64.9596,0.452652,2.59433,0,437.321,-800.737,-0.0078125,0.648438,58.2676,3074516
-0.109375,0.0408325,0.854126,0.760651,3.19473,-63.8947,0.449539,2.5938,0,385.706,-762.399,-0.0078125,0.648438,58.2895,3074531
-0.0610962,0.00762939,1.02899,1.36917,2.73834,-60.8521,0.44632,2.59311,0,456.819,-868.772,-0.0078125,0.648438,58.3081,3074546
-0.052002,-0.0184326,0.934998,-0.30426,1.82556,-57.9616,0.439789,2.59184,0,527.315,-704.399,-0.0078125,0.648438,58.3269,3074576
-0.0222168,0.00378418,0.887146,1.21704,-1.21704,-57.0488,0.436462,2.59113,0,530.8,-774.863,-0.0078125,0.648438,58.3474,3074591
0.358459,-0.0032959,0.956421,-4.86816,-0.760651,-57.0488,0.433151,2.59059,0,507.511,-600.546,-0.0078125,0.648438,58.3673,3074606
-0.23175,0.0443726,0.93457,-3.65112,1.5213,-56.8967,0.426239,2.5892,0,542.108,-804.959,-0.0078125,0.648438,58.3874,3074636
0.226135,-0.0281372,1.13312,-5.02029,5.32455,-53.7019,0.422607,2.58829,0,532.056,-948.362,-0.0078125,0.648438,58.4078,3074651
0.0201416,0.120728,1.18219,-0.15213,5.78094,-50.6593,0.4189,2.58748,0,546.986,-734.619,-0.0078125,0.648438,58.4278,3074666
0.467468,-0.0745239,1.06885,0.760651,-5.17242,-47.7689,0.411209,2.58546,0,557.383,-777.001,-0.0078125,0.648438,58.4492,3074696
-0.149231,0.129944,1.24463,-0.45639,-2.58621,-47.1603,0.407364,2.58464,0,498.244,-743.771,-0.0078125,0.648438,58.4672,3074711
0.189087,-0.0931396,0.458008,-2.12982,-1.06491,-44.1177,0.403442,2.58379,0,571.445,-832.189,-0.0078125,0.648438,58.4868,3074726
-0.414978,0.0898438,1.7453,-1.82556,7.45438,-41.6837,0.39595,2.58257,0,687.521,-766.754,-0.0078125,0.648438,58.5072,3074756
-0.348755,0.0891113,0.963928,10.6491,11.2576,-41.2273,0.391846,2.58138,0,655.501,-648.382,-0.0078125,0.648438,58.5271,3074771
-0.0773315,-0.0838013,1.09283,6.84586,9.43207,-37.8804,0.387604,2.57985,0,568.473,-916.128,-0.0078125,0.648438,58.5475,3074786
-0.229919,0.188477,0.633301,-6.5416,2.28195,-35.4463,0.379044,2.57687,0,691.922,-1024.75,-0.0078125,0.648438,58.5678,3074816
-0.217224,0.00878906,0.994019,-8.97568,-2.89047,-28.7526,0.37442,2.57507,0,838.399,-828.432,-0.0078125,0.648438,58.5877,3074831
