left_encoder_ticks,right_encoder_ticks,left_current,right_current,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,navx_time,laptop_time
56039,64515,0,37,0.040955,-0.225891,1.030151,-3.601074,-2.197266,39.123535,0,1512690168.628762
56393,65391,0,32,0.178467,0.128601,0.910339,11.657714,-6.591796,57.312008,0,1512690168.728914
56576,341,0,34,0.026184,0.113831,1.219238,5.981445,0.854492,52.917477,0,1512690168.829088
56861,1064,0,32,0.114136,0.034607,0.999329,4.760742,-1.281738,53.100582,0,1512690168.929272
57053,1576,0,31,0.052979,0.190369,0.983459,9.887695,-0.122070,53.955074,0,1512690169.029461
57325,2299,0,36,0.213562,0.051514,0.851990,0.427246,1.586914,41.259762,0,1512690169.129650
57468,2654,0,35,-0.002319,-0.055603,0.947510,-3.784179,-1.953125,37.719727,0,1512690169.229842
57817,3528,0,32,0.114441,-0.001648,1.085083,8.850098,-3.662109,55.297848,0,1512690169.330033
57955,3895,0,34,0.071167,0.096436,0.956848,2.014160,3.173828,51.391598,0,1512690169.430164
58092,4245,0,36,-0.005676,-0.061523,0.968384,2.380371,3.540039,52.368160,0,1512690169.530357
58481,5249,0,29,0.135559,0.085449,1.041992,9.643555,-4.272461,60.119625,0,1512690169.630476
58756,5987,0,35,0.160950,-0.013306,1.005432,2.441406,2.868652,47.973629,0,1512690169.730628
58945,6462,0,34,0.021973,-0.024780,1.154785,1.708984,-0.244141,45.715328,0,1512690169.830801
59144,6976,0,30,0.141174,0.034302,0.883057,7.202148,-4.211426,60.302731,0,1512690169.930945
59468,7835,0,34,0.031128,0.075989,0.942627,2.990722,7.812500,64.758301,0,1512690170.031072
59610,8207,0,31,0.082336,0.019653,0.992737,2.929687,1.953125,62.988277,0,1512690170.131254
59901,9003,0,28,0.068542,0.076599,1.161682,8.911133,-2.685547,70.739746,0,1512690170.231443
60178,9771,0,32,0.032227,-0.055725,1.056152,0.000000,2.075195,57.189938,0,1512690170.331627
60373,10280,0,30,0.059143,0.074402,1.050232,3.967285,-3.234863,57.434078,0,1512690170.431812
60666,11075,0,30,0.225525,0.074158,1.100586,7.812500,-2.319336,59.326168,0,1512690170.531997
60806,11440,0,34,0.156738,0.040100,1.053589,-1.770019,5.065917,47.790524,0,1512690170.632180
61152,12309,0,30,0.156799,-0.004700,0.957703,7.507324,-2.441406,62.866207,0,1512690170.732366
61346,12832,0,29,0.111511,0.026794,1.010742,7.324218,-1.708984,65.490723,0,1512690170.832551
61624,13576,0,33,0.066528,0.012146,1.107239,-0.244141,3.601074,58.532711,0,1512690170.932741
61774,13960,0,30,0.068481,0.016846,0.910828,7.690429,-5.798339,62.011715,0,1512690171.032934
62067,14760,0,29,-0.005859,0.048279,1.191650,10.009766,1.220703,49.560543,0,1512690171.133123
