left,right,time
12574,14822,1509599262.035570
12537,14786,1509599262.135722
12506,14759,1509599262.235896
12424,14682,1509599262.336075
12340,14576,1509599262.436220
12307,14514,1509599262.536380
12252,14374,1509599262.636550
12181,14218,1509599262.736734
12128,14018,1509599262.836900
12099,13898,1509599262.937071
12024,13625,1509599263.037238
11979,13464,1509599263.137405
11911,13216,1509599263.237571
11830,13067,1509599263.337737
11715,12867,1509599263.437909
11651,12771,1509599263.538032
11502,12598,1509599263.638195
11340,12434,1509599263.738335
11258,12350,1509599263.838478
11096,12184,1509599263.938626
10986,12073,1509599264.038776
10823,11904,1509599264.138914
10712,11790,1509599264.239081
10515,11592,1509599264.339247
10374,11444,1509599264.439403
10285,11318,1509599264.539573
10048,10977,1509599264.639757
9855,10717,1509599264.739924
9706,10529,1509599264.840111
9409,10141,1509599264.940274
9110,9749,1509599265.040441
8945,9553,1509599265.140625
8588,9191,1509599265.240789
8217,8862,1509599265.340955
8021,8710,1509599265.441122
7623,8407,1509599265.541289
7224,8102,1509599265.641463
6894,7845,1509599265.741648
6629,7638,1509599265.841813
6363,7430,1509599265.941984
5920,7062,1509599266.042099
5617,6814,1509599266.142168
5152,6443,1509599266.242302
4685,6065,1509599266.342439
4452,5862,1509599266.442602
3913,5418,1509599266.542742
3681,5234,1509599266.642878
3216,4856,1509599266.743047
2760,4466,1509599266.843212
2520,4259,1509599266.943386
1987,3807,1509599267.043577
1679,3534,1509599267.143743
1377,3274,1509599267.243910
831,2813,1509599267.344080
522,2556,1509599267.444264
49,2177,1509599267.544434
65271,1928,1509599267.644604
64796,1536,1509599267.744772
64560,1335,1509599267.844941
64080,928,1509599267.945113
63557,469,1509599268.045283
63291,240,1509599268.145450
62670,65228,1509599268.245621
62314,64902,1509599268.345789
61960,64595,1509599268.445974
61338,64041,1509599268.546087
61077,63807,1509599268.646257
60448,63250,1509599268.746396
60175,63023,1509599268.846564
59632,62578,1509599268.946736
59087,62122,1509599269.046908
58730,61816,1509599269.147078
58218,61330,1509599269.247248
57964,61079,1509599269.347418
57447,60578,1509599269.447590
56936,60074,1509599269.547762
56590,59737,1509599269.647932
56244,59399,1509599269.748103
55740,58879,1509599269.848224
55417,58525,1509599269.948395
54898,57850,1509599270.048568
54606,57463,1509599270.148745
54339,57054,1509599270.248935
53948,56431,1509599270.349103
53683,56011,1509599270.449270
53223,55277,1509599270.549458
53025,54965,1509599270.649628
52630,54332,1509599270.749811
52232,53702,1509599270.849981
52039,53385,1509599270.950167
51648,52750,1509599271.050282
51249,52121,1509599271.150424
51040,51816,1509599271.250598
50534,51116,1509599271.350769
50242,50718,1509599271.450941
49734,50022,1509599271.551084
49440,49616,1509599271.651287
49151,49219,1509599271.751460
48645,48513,1509599271.851608
48355,48110,1509599271.951772
47920,47510,1509599272.051917
47696,47206,1509599272.152081
47192,46493,1509599272.252246
46981,46196,1509599272.352415
46548,45585,1509599272.452519
46111,44977,1509599272.552673
45897,44671,1509599272.652842
45460,44056,1509599272.753011
45162,43647,1509599272.853151
44652,42932,1509599272.953304
44284,42420,1509599273.053479
44067,42115,1509599273.153598
43525,41426,1509599273.253763
43120,40957,1509599273.353929
42869,40683,1509599273.454040
42249,40070,1509599273.554145
41877,39734,1509599273.654274
41291,39269,1509599273.754405
40984,39057,1509599273.854545
40350,38647,1509599273.954682
39685,38246,1509599274.054815
39341,38062,1509599274.154929
38541,37648,1509599274.255087
38080,37412,1509599274.355252
37389,37054,1509599274.455417
36927,36814,1509599274.555582
36464,36571,1509599274.655700
35656,36157,1509599274.755863
35190,35922,1509599274.856031
34728,35686,1509599274.956199
34144,35388,1509599275.056365
33474,35058,1509599275.156509
32838,34752,1509599275.256669
32529,34613,1509599275.356836
31936,34371,1509599275.457004
31354,34120,1509599275.557171
30964,33966,1509599275.657317
30377,33742,1509599275.757480
30076,33624,1509599275.857664
29395,33342,1509599275.957828
29001,33192,1509599276.058019
28408,32962,1509599276.158121
28013,32801,1509599276.258265
27620,32646,1509599276.358398
26924,32378,1509599276.458530
26528,32223,1509599276.558670
25936,31992,1509599276.658801
25513,31814,1509599276.758958
24860,31542,1509599276.859135
24533,31401,1509599276.959320
23873,31105,1509599277.059486
23223,30818,1509599277.159656
22898,30681,1509599277.259823
22131,30358,1509599277.359993
21801,30213,1509599277.460180
21153,29916,1509599277.560343
20533,29591,1509599277.660513
20044,29300,1509599277.760685
19665,29051,1509599277.860854
19280,28798,1509599277.961038
18616,28364,1509599278.061204
18238,28112,1509599278.161372
17661,27741,1509599278.261558
17375,27554,1509599278.361736
16830,27150,1509599278.461901
16296,26727,1509599278.562097
16028,26514,1509599278.662264
15500,26089,1509599278.762371
14970,25669,1509599278.862512
14704,25460,1509599278.962692
14176,25033,1509599279.062846
13668,24585,1509599279.163013
13339,24274,1509599279.263192
12848,23804,1509599279.363374
12435,23410,1509599279.463559
12109,23099,1509599279.563728
11786,22791,1509599279.663916
11290,22319,1509599279.764084
10796,21848,1509599279.864214
10466,21531,1509599279.964390
9974,21064,1509599280.064559
9729,20829,1509599280.164729
9235,20355,1509599280.264834
8740,19881,1509599280.364954
8493,19642,1509599280.465067
8002,19173,1509599280.565248
7507,18698,1509599280.665425
7016,18225,1509599280.765571
6691,17909,1509599280.865727
6278,17510,1509599280.965893
5949,17190,1509599281.066040
5457,16722,1509599281.166180
5131,16406,1509599281.266343
4803,16088,1509599281.366478
4316,15619,1509599281.466604
3826,15163,1509599281.566743
3578,14928,1509599281.666904
3075,14442,1509599281.767036
2581,13958,1509599281.867189
2252,13639,1509599281.967356
1758,13162,1509599282.067537
1260,12678,1509599282.167670
1012,12436,1509599282.267824
522,11962,1509599282.367975
24,11486,1509599282.468100
65231,11170,1509599282.568223
64905,10855,1509599282.668324
64328,10295,1509599282.768485
63997,9974,1509599282.868620
63502,9490,1509599282.968736
63088,9086,1509599283.068838
62840,8842,1509599283.168998
62345,8362,1509599283.269164
61851,7889,1509599283.369331
61602,7647,1509599283.469467
61110,7173,1509599283.569628
60609,6685,1509599283.669794
60204,6298,1509599283.769987
59954,6052,1509599283.870097
59378,5487,1509599283.970235
59052,5170,1509599284.070362
58721,4849,1509599284.170483
58146,4286,1509599284.270619
57902,4050,1509599284.370759
57409,3571,1509599284.470928
56916,3088,1509599284.571118
56671,2848,1509599284.671251
56177,2368,1509599284.771423
55683,1886,1509599284.871601
55442,1649,1509599284.971788
54863,1089,1509599285.071952
54534,766,1509599285.172087
54042,286,1509599285.272240
53629,65418,1509599285.372406
53385,65182,1509599285.472584
52809,64620,1509599285.572701
52397,64214,1509599285.672845
52152,63975,1509599285.773012
51661,63495,1509599285.873164
51331,63172,1509599285.973335
50836,62687,1509599286.073503
50346,62209,1509599286.173653
50100,61968,1509599286.273847
49605,61485,1509599286.374038
49115,61006,1509599286.474142
48786,60682,1509599286.574278
48453,60358,1509599286.674412
47879,59795,1509599286.774582
47632,59554,1509599286.874723
47056,58990,1509599286.974864
46644,58588,1509599287.075032
46398,58347,1509599287.175199
45904,57861,1509599287.275372
45410,57378,1509599287.375543
45165,57136,1509599287.475714
44671,56657,1509599287.575898
44175,56171,1509599287.676062
43931,55930,1509599287.776246
43438,55449,1509599287.876413
43107,55125,1509599287.976579
42532,54564,1509599288.076749
42288,54324,1509599288.176918
41710,53758,1509599288.277103
41381,53431,1509599288.377269
41052,53110,1509599288.477435
40473,52542,1509599288.577604
40228,52302,1509599288.677773
39653,51734,1509599288.777919
39321,51412,1509599288.878047
38832,50931,1509599288.978151
38586,50690,1509599289.078291
38088,50202,1509599289.178413
37597,49721,1509599289.278569
37349,49479,1509599289.378738
36855,48995,1509599289.478906
36363,48514,1509599289.579081
36037,48194,1509599289.679250
35540,47706,1509599289.779422
35204,47379,1509599289.879539
34729,46886,1509599289.979703
34335,46477,1509599290.079875
34020,46162,1509599290.180047
33706,45842,1509599290.280216
33252,45359,1509599290.380385
32941,45043,1509599290.480556
32351,44509,1509599290.580705
32102,44262,1509599290.680853
31639,43768,1509599290.780962
31128,43247,1509599290.881088
30861,42988,1509599290.981248
30340,42484,1509599291.081388
29818,41983,1509599291.181541
29561,41734,1509599291.281712
29019,41163,1509599291.381884
28772,40923,1509599291.482054
28258,40421,1509599291.582174
27755,39922,1509599291.682340
27334,39508,1509599291.782511
27002,39178,1509599291.882680
26418,38613,1509599291.982784
26079,38288,1509599292.082940
25740,37977,1509599292.183079
25227,37486,1509599292.283213
24714,36985,1509599292.383314
24474,36743,1509599292.483428
23892,36174,1509599292.583577
23648,35930,1509599292.683727
23152,35439,1509599292.783832
22654,34946,1509599292.883952
22412,34690,1509599292.984081
21879,34082,1509599293.084243
21575,33733,1509599293.184409
21121,33210,1509599293.284577
20818,32858,1509599293.384745
20516,32507,1509599293.484913
19970,31905,1509599293.585083
19641,31574,1509599293.685225
19136,31090,1509599293.785325
18872,30862,1509599293.885453
18341,30414,1509599293.985617
17810,29972,1509599294.085782
17541,29746,1509599294.185921
17008,29297,1509599294.286059
16477,28846,1509599294.386195
16210,28625,1509599294.486336
15584,28098,1509599294.586470
15227,27799,1509599294.686608
14689,27348,1509599294.786745
14244,26972,1509599294.886845
13977,26749,1509599294.987011
13359,26225,1509599295.087182
13103,25993,1509599295.187373
12606,25512,1509599295.287540
12106,25017,1509599295.387724
11857,24771,1509599295.487901
11363,24278,1509599295.588078
10868,23784,1509599295.688266
10615,23538,1509599295.788430
10116,23042,1509599295.888600
9788,22714,1509599295.988784
9204,22134,1509599296.088948
8874,21808,1509599296.189061
8544,21478,1509599296.289226
8047,20985,1509599296.389394
7714,20654,1509599296.489561
7216,20158,1509599296.589731
6715,19662,1509599296.689899
6466,19413,1509599296.790061
5972,18923,1509599296.890194
5474,18430,1509599296.990329
5229,18185,1509599297.090458
4650,17612,1509599297.190591
4400,17366,1509599297.290726
3818,16787,1509599297.390892
3488,16458,1509599297.491055
3158,16130,1509599297.591223
2578,15554,1509599297.691393
2330,15310,1509599297.791561
1749,14733,1509599297.891729
1504,14490,1509599297.991896
1010,14001,1509599298.092082
517,13507,1509599298.192248
268,13265,1509599298.292416
65303,12770,1509599298.392585
64807,12278,1509599298.492753
64563,12034,1509599298.592926
64068,11541,1509599298.693093
63570,11045,1509599298.793239
63123,10600,1509599298.893409
62758,10239,1509599298.993587
62390,9874,1509599299.093771
61678,9168,1509599299.193971
61372,8865,1509599299.294077
60611,8109,1509599299.394241
60267,7767,1509599299.494379
59538,7045,1509599299.594519
58799,6310,1509599299.694688
58415,5926,1509599299.794877
57632,5148,1509599299.895060
57102,4622,1509599299.995229
56177,3699,1509599300.095414
55779,3302,1509599300.195583
54893,2351,1509599300.295768
54390,1798,1509599300.395936
53880,1245,1509599300.496119
53000,278,1509599300.596291
52618,65394,1509599300.696479
51702,64464,1509599300.796649
