accl_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,time
0.217285,-0.395264,0.923157,-0.0610352,-0.183105,-0.183105,0
0.219543,-0.394958,0.924561,0,-0.12207,0.0610352,0
0.218506,-0.394836,0.927612,0,-0.12207,0.0610352,0
0.21759,-0.393677,0.922424,-0.0610352,-0.244141,-0.0610352,0
0.21759,-0.393677,0.922424,-0.0610352,-0.244141,-0.0610352,0
0.217041,-0.394897,0.921448,-0.12207,-0.305176,0,0
0.218445,-0.394592,0.923462,-0.183105,-0.183105,-0.183105,0
0.218445,-0.394592,0.923462,-0.183105,-0.183105,-0.183105,0
0.220459,-0.395813,0.918152,-0.0610352,-0.183105,-0.0610352,0
0.21936,-0.398071,0.922913,0.0610352,-0.12207,-0.12207,0
0.21936,-0.398071,0.922913,0.0610352,-0.12207,-0.12207,0
0.217285,-0.396912,0.918579,0.244141,-0.12207,-0.0610352,0
0.218384,-0.397827,0.923523,0,-0.183105,0.0610352,0
0.218384,-0.397827,0.923523,0,-0.183105,0.0610352,0
0.215576,-0.395691,0.925415,-0.12207,-0.183105,-0.0610352,0
0.21875,-0.397217,0.921021,-0.12207,-0.183105,0,0
0.21875,-0.397217,0.921021,-0.12207,-0.183105,0,0
0.216064,-0.394043,0.919373,-0.12207,-0.12207,-0.12207,0
0.218811,-0.395752,0.920898,-0.0610352,-0.183105,0.0610352,0
0.218811,-0.395752,0.920898,-0.0610352,-0.183105,0.0610352,0
0.219666,-0.398499,0.920288,-0.0610352,-0.12207,-0.0610352,0
0.219666,-0.398132,0.926575,-0.0610352,-0.244141,0,0
0.219666,-0.398132,0.926575,-0.0610352,-0.244141,0,0
0.218994,-0.39801,0.918152,-0.0610352,-0.244141,-0.0610352,0
0.218323,-0.396118,0.921387,-0.183105,-0.183105,0.0610352,0
0.218323,-0.396118,0.921387,-0.183105,-0.183105,0.0610352,0
0.219604,-0.395386,0.925293,-0.183105,-0.244141,-0.0610352,0
0.219666,-0.397461,0.923035,-0.0610352,-0.305176,-0.0610352,0
0.221985,-0.395691,0.917297,0,-0.183105,-0.0610352,0
0.221985,-0.395691,0.917297,0,-0.183105,-0.0610352,0
0.220825,-0.393311,0.917786,-0.0610352,-0.0610352,-0.0610352,0
0.220825,-0.393311,0.917786,-0.0610352,-0.0610352,-0.0610352,0
0.219971,-0.391235,0.921692,0,0,-0.183105,0
0.217529,-0.394592,0.925781,-0.12207,-0.183105,-0.183105,0
0.218872,-0.399414,0.921204,-0.244141,-0.244141,0,0
0.218872,-0.399414,0.921204,-0.244141,-0.244141,0,0
0.217041,-0.399292,0.923584,-0.183105,-0.183105,0,0
0.217407,-0.395447,0.922852,-0.0610352,-0.12207,0,0
0.217407,-0.395447,0.922852,-0.0610352,-0.12207,0,0
0.216858,-0.393127,0.92157,-0.0610352,-0.12207,0,0
0.217957,-0.394836,0.919861,0.0610352,0,-0.183105,0
0.217957,-0.394836,0.919861,0.0610352,0,-0.183105,0
0.217834,-0.394043,0.919128,-0.0610352,-0.183105,0.12207,0
0.216614,-0.395142,0.925781,-0.244141,-0.244141,0,0
0.216614,-0.395142,0.925781,-0.244141,-0.244141,0,0
0.216614,-0.395874,0.923523,-0.0610352,-0.305176,-0.0610352,0
0.21936,-0.394592,0.920044,-0.0610352,-0.183105,0,0
0.21936,-0.394592,0.920044,-0.0610352,-0.183105,0,0
0.221252,-0.393494,0.919006,-0.0610352,-0.244141,0,0
0.218079,-0.396667,0.922791,-0.0610352,-0.0610352,-0.12207,0
0.218079,-0.396667,0.922791,-0.0610352,-0.0610352,-0.12207,0
0.216309,-0.399048,0.924805,-0.0610352,-0.183105,0,0
0.221008,-0.393982,0.917358,-0.12207,-0.0610352,-0.0610352,0
0.221008,-0.393982,0.917358,-0.12207,-0.0610352,-0.0610352,0
0.217529,-0.395447,0.92511,-0.0610352,-0.12207,0,0
0.218445,-0.395264,0.921509,-0.0610352,-0.244141,0,0
0.218079,-0.393066,0.921387,-0.0610352,-0.183105,0,0
0.218079,-0.393066,0.921387,-0.0610352,-0.183105,0,0
0.222351,-0.398499,0.924561,-0.12207,-0.12207,0,0
0.219788,-0.397034,0.924072,0.0610352,0,-0.12207,0
0.219788,-0.397034,0.924072,0.0610352,0,-0.12207,0
0.216797,-0.395142,0.923889,-0.0610352,-0.183105,-0.12207,0
0.217346,-0.398071,0.922729,-0.0610352,-0.244141,0,0
0.217346,-0.398071,0.922729,-0.0610352,-0.244141,0,0
0.217712,-0.395142,0.918396,-0.0610352,-0.305176,-0.12207,0
0.221008,-0.392456,0.918945,-0.183105,-0.183105,-0.12207,0
0.221008,-0.392456,0.918945,-0.183105,-0.183105,-0.12207,0
0.22052,-0.396729,0.919983,-0.0610352,-0.12207,0.0610352,0
0.218933,-0.393921,0.920166,0,-0.0610352,-0.0610352,0
0.218933,-0.393921,0.920166,0,-0.0610352,-0.0610352,0
0.217041,-0.393677,0.920288,-0.12207,-0.12207,-0.0610352,0
0.21759,-0.395691,0.923462,-0.0610352,-0.0610352,0,0
0.21759,-0.395691,0.923462,-0.0610352,-0.0610352,0,0
0.217407,-0.39624,0.923706,-0.0610352,-0.305176,0,0
0.216919,-0.400208,0.921814,-0.0610352,-0.183105,0.0610352,0
