Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
205,0,-0.0167512,-0.0526724,2.66591,517.43,909.244,286.574
206,0,-0.0166592,-0.0525197,2.66586,517.417,909.251,286.534
207,0,-0.0166627,-0.0523526,2.6659,517.433,909.279,286.59
208,0,-0.0167271,-0.0526543,2.66598,517.43,909.26,286.573
209,0,-0.0166092,-0.0523369,2.66583,517.422,909.274,286.531
210,0,-0.0167282,-0.052479,2.66597,517.439,909.291,286.57
211,0,-0.0166095,-0.052456,2.66594,517.43,909.256,286.58
212,0,-0.0167343,-0.0527358,2.66595,517.412,909.26,286.552
213,0,-0.016702,-0.0521869,2.66585,517.431,909.266,286.58
214,0,-0.0167747,-0.0523762,2.66591,517.44,909.269,286.556
215,0,-0.0166186,-0.0525288,2.6659,517.424,909.268,286.549
216,0,-0.0166472,-0.0524946,2.66593,517.423,909.257,286.572
217,0,-0.0166573,-0.0525433,2.66593,517.429,909.285,286.57
218,0,-0.0166488,-0.0525804,2.66589,517.421,909.28,286.564
219,0,-0.0167252,-0.0524439,2.66595,517.431,909.242,286.549
220,0,-0.0167785,-0.0526348,2.66593,517.43,909.262,286.548
221,0,-0.0166509,-0.0524353,2.66591,517.431,909.291,286.57
222,0,-0.0166283,-0.0522248,2.66582,517.424,909.237,286.568
223,0,-0.0166924,-0.0526186,2.66596,517.425,909.251,286.546
224,0,-0.0167431,-0.0525344,2.66591,517.438,909.303,286.548
225,0,-0.0167561,-0.0523801,2.66597,517.431,909.256,286.566
226,0,-0.0166259,-0.0523117,2.6659,517.422,909.227,286.562
227,0,-0.0166921,-0.0525288,2.66592,517.428,909.296,286.574
228,0,-0.0167012,-0.0523323,2.66597,517.434,909.266,286.56
229,0,-0.0166063,-0.0524785,2.66594,517.431,909.247,286.551
230,0,-0.0165599,-0.0521773,2.66585,517.438,909.309,286.562
231,0,-0.0166663,-0.0526361,2.66591,517.436,909.286,286.567
232,0,-0.0166474,-0.0523755,2.66597,517.422,909.24,286.573
233,0,-0.0165864,-0.052187,2.66595,517.427,909.26,286.57
234,0,-0.0167429,-0.0524245,2.66585,517.435,909.271,286.56
235,0,-0.0166005,-0.0524728,2.66589,517.433,909.257,286.576
236,0,-0.0165831,-0.0522619,2.66594,517.43,909.28,286.547
237,0,-0.0166501,-0.0523979,2.66589,517.434,909.299,286.546
238,0,-0.0166592,-0.0523125,2.66589,517.432,909.277,286.578
239,0,-0.0165538,-0.0524897,2.66597,517.432,909.257,286.571
240,0,-0.0166489,-0.0526102,2.66597,517.412,909.265,286.555
241,0,-0.0166855,-0.0525158,2.66591,517.44,909.278,286.573
242,0,-0.0167115,-0.0523831,2.66585,517.439,909.28,286.56
243,0,-0.0166919,-0.0522927,2.66588,517.427,909.26,286.542
244,0,-0.0166393,-0.0525008,2.66588,517.433,909.272,286.582
245,0,-0.016642,-0.0524942,2.66592,517.437,909.287,286.572
246,0,-0.0166781,-0.0523806,2.66585,517.421,909.263,286.539
247,0,-0.0166096,-0.0525553,2.66595,517.436,909.243,286.568
248,0,-0.0167003,-0.0524219,2.66593,517.44,909.294,286.557
249,0,-0.0167296,-0.0525899,2.6659,517.429,909.283,286.56
250,0,-0.0166321,-0.052612,2.66587,517.43,909.252,286.572
251,0,-0.016675,-0.0525157,2.66584,517.432,909.297,286.559
252,0,-0.0165971,-0.0524634,2.6659,517.43,909.28,286.545
253,0,-0.0167051,-0.0525316,2.66581,517.432,909.235,286.56
254,0,-0.0167251,-0.0527181,2.66584,517.423,909.28,286.564
255,0,-0.0167105,-0.05245,2.66593,517.436,909.302,286.569
256,0,-0.0166554,-0.0525022,2.66588,517.436,909.242,286.563
257,0,-0.0165951,-0.0524902,2.666,517.426,909.269,286.539
258,0,-0.0166093,-0.0524278,2.66592,517.441,909.323,286.542
259,0,-0.0166654,-0.052527,2.66586,517.442,909.251,286.584
260,0,-0.0166164,-0.0523495,2.66591,517.416,909.243,286.549
261,0,-0.0165402,-0.0523414,2.66584,517.433,909.284,286.547
262,0,-0.0166524,-0.0521942,2.66585,517.443,909.259,286.589
263,0,-0.016651,-0.0522999,2.66599,517.426,909.259,286.531
264,0,-0.01662,-0.0525214,2.66589,517.424,909.301,286.53
265,0,-0.0167685,-0.0526732,2.6659,517.447,909.287,286.582
266,0,-0.0166217,-0.0524135,2.66584,517.422,909.254,286.548
267,0,-0.016645,-0.0524341,2.66582,517.418,909.258,286.55
268,0,-0.0166385,-0.052406,2.66592,517.436,909.27,286.579
269,0,-0.0165677,-0.0524187,2.66591,517.428,909.294,286.551
270,0,-0.0167126,-0.0525246,2.66594,517.42,909.267,286.532
271,0,-0.0166636,-0.0522697,2.66587,517.43,909.267,286.577
272,0,-0.0166812,-0.052631,2.66593,517.439,909.273,286.571
273,0,-0.0166654,-0.0525666,2.66591,517.42,909.259,286.546
274,0,-0.0166442,-0.0526412,2.66587,517.418,909.24,286.566
275,0,-0.0167655,-0.0524845,2.66593,517.435,909.304,286.543
276,0,-0.0166496,-0.0525022,2.6659,517.434,909.282,286.556
277,0,-0.0166301,-0.0525029,2.6659,517.418,909.232,286.565
278,0,-0.0166851,-0.0525549,2.66588,517.43,909.295,286.575
279,0,-0.0165578,-0.0521015,2.66585,517.427,909.286,286.563
