left_ticks,right_ticks,time_s,time_ns
52243,49941,1521301129,197710846
52302,49970,1521301129,221706467
52302,49970,1521301129,245717092
52480,50063,1521301129,269718418
52480,50063,1521301129,293715896
52480,50063,1521301129,317717090
52660,50157,1521301129,341704162
52660,50157,1521301129,365766755
52838,50247,1521301129,389714194
52838,50247,1521301129,413722685
52838,50247,1521301129,437709810
53017,50337,1521301129,465704670
53017,50337,1521301129,489722088
53198,50430,1521301129,517718188
53198,50430,1521301129,541710191
53379,50519,1521301129,565713374
53439,50548,1521301129,589704007
53439,50548,1521301129,613738682
53439,50548,1521301129,637711984
53618,50639,1521301129,661724726
53618,50639,1521301129,685730019
53798,50731,1521301129,709717456
53798,50731,1521301129,733695527
53798,50731,1521301129,757701533
53977,50827,1521301129,781677436
53977,50827,1521301129,805717028
54158,50928,1521301129,829707295
54158,50928,1521301129,853711405
54158,50928,1521301129,877683151
54335,51023,1521301129,901746655
54335,51023,1521301129,925748731
54512,51119,1521301129,949710516
54512,51119,1521301129,973725945
54512,51119,1521301129,997715973
54694,51211,1521301130,21720805
54694,51211,1521301130,45721135
54875,51304,1521301130,69744689
54875,51304,1521301130,93688624
54875,51304,1521301130,117711079
55054,51398,1521301130,141699574
55054,51398,1521301130,165709883
55233,51493,1521301130,185728181
55233,51493,1521301130,209698902
55233,51493,1521301130,233711261
55413,51587,1521301130,261710680
55474,51619,1521301130,285711566
55474,51619,1521301130,309687589
55652,51715,1521301130,333713504
55652,51715,1521301130,357737391
55652,51715,1521301130,381706582
55833,51810,1521301130,405705333
55833,51810,1521301130,429712452
56016,51908,1521301130,453711234
56076,51939,1521301130,481706784
56076,51939,1521301130,510009463
56253,52034,1521301130,533719952
56315,52067,1521301130,565710545
56315,52067,1521301130,593694842
56494,52161,1521301130,621669021
56553,52191,1521301130,645683116
56553,52191,1521301130,669722764
56735,52288,1521301130,693713406
56735,52288,1521301130,717714083
56735,52288,1521301130,741701522
56977,52415,1521301130,765774601
56977,52415,1521301130,789729458
56977,52415,1521301130,810039905
57157,52510,1521301130,837711195
57216,52541,1521301130,861721727
57216,52541,1521301130,885709409
57399,52635,1521301130,909685269
57399,52635,1521301130,933707538
57399,52635,1521301130,957730262
57583,52731,1521301130,981709353
57643,52764,1521301131,5718002
57643,52764,1521301131,33758945
57825,52856,1521301131,57741575
57825,52856,1521301131,85714427
58005,52949,1521301131,109682462
58005,52949,1521301131,133714894
58005,52949,1521301131,157716181
58189,53039,1521301131,181718498
58189,53039,1521301131,205737125
58372,53129,1521301131,229721734
58372,53129,1521301131,253766864
58372,53129,1521301131,277688619
58555,53219,1521301131,301719562
58555,53219,1521301131,325717748
58735,53309,1521301131,349716527
58735,53309,1521301131,373712425
58735,53309,1521301131,397716044
58916,53403,1521301131,421701437
58916,53403,1521301131,441714635
59097,53495,1521301131,465701012
59097,53495,1521301131,489701924
59097,53495,1521301131,517691965
